#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0042127	Regulation of cell population proliferation	9	1669	0.95	5.22e-05	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,PGR,HDAC1,AR,PBRM1,CDKN2A
GO Process	GO:0051726	Regulation of cell cycle	8	1108	1.07	5.22e-05	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,ATM,ERCC6,PBRM1,CDK12,CDKN2A
GO Process	GO:0008630	Intrinsic apoptotic signaling pathway in response to DNA damage	4	75	1.94	0.00010	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,TP53,ATM,ERCC6
GO Process	GO:0042325	Regulation of phosphorylation	8	1251	1.02	0.00010	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,ERCC6,AR,CDK12,CDKN2A
GO Process	GO:0045944	Positive regulation of transcription by RNA polymerase II	8	1250	1.02	0.00010	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	TP53,ATM,PGR,ERCC6,HDAC1,AR,CDK12,CDKN2A
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	10	2760	0.77	0.00012	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:0048519	Negative regulation of biological process	12	5313	0.57	0.00012	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0090399	Replicative senescence	3	16	2.49	0.00012	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418915	TP53,ATM,CDKN2A
GO Process	GO:0007346	Regulation of mitotic cell cycle	6	493	1.3	0.00014	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,APC,TP53,ATM,PBRM1,CDKN2A
GO Process	GO:0035264	Multicellular organism growth	4	88	1.87	0.00014	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822	TP53,ATM,ERCC6,AR
GO Process	GO:0048522	Positive regulation of cellular process	12	5584	0.55	0.00016	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0008340	Determination of adult lifespan	3	21	2.37	0.00018	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616	MSH2,TP53,ATM
GO Process	GO:0031323	Regulation of cellular metabolic process	12	5681	0.54	0.00018	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0042981	Regulation of apoptotic process	8	1462	0.95	0.00018	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,HDAC1,AR,CDKN2A
GO Process	GO:0051052	Regulation of DNA metabolic process	6	541	1.26	0.00018	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,TP53,ATM,ERCC6,PBRM1,CDKN2A
GO Process	GO:0000077	DNA damage checkpoint signaling	4	105	1.8	0.00019	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,TP53,ATM,ERCC6
GO Process	GO:0080090	Regulation of primary metabolic process	12	5899	0.52	0.00022	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0031324	Negative regulation of cellular metabolic process	9	2265	0.81	0.00023	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:0045595	Regulation of cell differentiation	8	1582	0.92	0.00025	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,NTRK2,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	5	316	1.41	0.00031	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593,9606.ENSP00000418915	TP53,ATM,ERCC6,PBRM1,CDKN2A
GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling	4	127	1.71	0.00033	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616	MSH2,APC,TP53,ATM
GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process	9	2403	0.79	0.00034	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:0001932	Regulation of protein phosphorylation	7	1108	1.02	0.00037	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,ERCC6,CDK12,CDKN2A
GO Process	GO:0050793	Regulation of developmental process	9	2492	0.77	0.00038	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0048523	Negative regulation of cellular process	11	4736	0.58	0.00042	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0051053	Negative regulation of DNA metabolic process	4	149	1.64	0.00046	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,TP53,ATM,ERCC6
GO Process	GO:0006357	Regulation of transcription by RNA polymerase II	9	2586	0.76	0.00049	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	TP53,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:0008285	Negative regulation of cell population proliferation	6	713	1.14	0.00049	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	APC,TP53,ATM,AR,PBRM1,CDKN2A
GO Process	GO:0043516	Regulation of DNA damage response, signal transduction by p53 class mediator	3	39	2.1	0.00052	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418915	TP53,ATM,CDKN2A
GO Process	GO:0010468	Regulation of gene expression	11	4899	0.57	0.00055	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR,PBRM1,CDK12,CDKN2A
GO Process	GO:2001022	Positive regulation of response to DNA damage stimulus	4	168	1.59	0.00065	9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593,9606.ENSP00000418915	ATM,ERCC6,PBRM1,CDKN2A
GO Process	GO:0060748	Tertiary branching involved in mammary gland duct morphogenesis	2	3	3.04	0.00081	9606.ENSP00000325120,9606.ENSP00000363822	PGR,AR
GO Process	GO:0048583	Regulation of response to stimulus	10	3931	0.62	0.0010	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,ERCC6,HDAC1,AR,PBRM1,CDKN2A
GO Process	GO:0006302	Double-strand break repair	4	204	1.51	0.0012	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,TP53,ATM,ERCC6
GO Process	GO:0010332	Response to gamma radiation	3	55	1.95	0.0012	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	TP53,ATM,ERCC6
GO Process	GO:0043523	Regulation of neuron apoptotic process	4	216	1.48	0.0014	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616	MSH2,TP53,NTRK2,ATM
GO Process	GO:0048584	Positive regulation of response to stimulus	8	2131	0.79	0.0014	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,TP53,NTRK2,ATM,ERCC6,AR,PBRM1,CDKN2A
GO Process	GO:0090398	Cellular senescence	3	60	1.91	0.0014	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418915	TP53,ATM,CDKN2A
GO Process	GO:0051338	Regulation of transferase activity	6	912	1.03	0.0015	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,NTRK2,ERCC6,CDK12,CDKN2A
GO Process	GO:0008406	Gonad development	4	226	1.46	0.0016	9606.ENSP00000233146,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000363822	MSH2,ATM,PGR,AR
GO Process	GO:0065009	Regulation of molecular function	9	3085	0.68	0.0016	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ERCC6,HDAC1,AR,CDK12,CDKN2A
GO Process	GO:0035556	Intracellular signal transduction	7	1518	0.88	0.0018	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,APC,TP53,ATM,ERCC6,AR,CDKN2A
GO Process	GO:0051276	Chromosome organization	6	968	1.01	0.0019	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000386593	MSH2,TP53,ATM,ERCC6,HDAC1,PBRM1
GO Process	GO:0045934	Negative regulation of nucleobase-containing compound metabolic process	7	1562	0.87	0.0020	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,TP53,ATM,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:2000134	Negative regulation of G1/S transition of mitotic cell cycle	3	75	1.82	0.0023	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616	APC,TP53,ATM
GO Process	GO:0050790	Regulation of catalytic activity	8	2370	0.74	0.0025	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ERCC6,HDAC1,CDK12,CDKN2A
GO Process	GO:0044773	Mitotic DNA damage checkpoint signaling	3	81	1.78	0.0028	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616	MSH2,TP53,ATM
GO Process	GO:0048511	Rhythmic process	4	270	1.39	0.0029	9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000325120,9606.ENSP00000362649	TP53,NTRK2,PGR,HDAC1
GO Process	GO:0000278	Mitotic cell cycle	5	631	1.11	0.0036	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386593	MSH2,APC,TP53,ATM,PBRM1
GO Process	GO:0030071	Regulation of mitotic metaphase/anaphase transition	3	91	1.73	0.0036	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000386593	APC,ATM,PBRM1
GO Process	GO:0071495	Cellular response to endogenous stimulus	6	1103	0.95	0.0036	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000325120,9606.ENSP00000362649,9606.ENSP00000363822	APC,TP53,NTRK2,PGR,HDAC1,AR
GO Process	GO:0030154	Cell differentiation	9	3507	0.62	0.0037	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR
GO Process	GO:0072331	Signal transduction by p53 class mediator	3	93	1.72	0.0037	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616	MSH2,TP53,ATM
GO Process	GO:0051054	Positive regulation of DNA metabolic process	4	304	1.33	0.0040	9606.ENSP00000233146,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000386593	MSH2,ATM,ERCC6,PBRM1
GO Process	GO:0051246	Regulation of protein metabolic process	8	2622	0.7	0.0045	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,ERCC6,HDAC1,CDK12,CDKN2A
GO Process	GO:0051095	Regulation of helicase activity	2	12	2.44	0.0046	9606.ENSP00000233146,9606.ENSP00000269305	MSH2,TP53
GO Process	GO:0031058	Positive regulation of histone modification	3	111	1.65	0.0056	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	TP53,ATM,ERCC6
GO Process	GO:1902749	Regulation of cell cycle G2/M phase transition	3	111	1.65	0.0056	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418915	TP53,ATM,CDKN2A
GO Process	GO:1903624	Regulation of DNA catabolic process	2	14	2.37	0.0056	9606.ENSP00000278616,9606.ENSP00000418915	ATM,CDKN2A
GO Process	GO:0007049	Cell cycle	6	1246	0.9	0.0057	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,APC,TP53,ATM,PBRM1,CDKN2A
GO Process	GO:0051239	Regulation of multicellular organismal process	8	2749	0.68	0.0057	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,HDAC1,AR,PBRM1,CDKN2A
GO Process	GO:0006974	Cellular response to DNA damage stimulus	5	744	1.04	0.0065	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089	MSH2,APC,TP53,ATM,ERCC6
GO Process	GO:0048731	System development	9	3867	0.58	0.0070	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822	MSH2,APC,TP53,NTRK2,ATM,PGR,ERCC6,HDAC1,AR
GO Process	GO:0010224	Response to UV-B	2	17	2.29	0.0075	9606.ENSP00000233146,9606.ENSP00000348089	MSH2,ERCC6
GO Process	GO:0043517	Positive regulation of DNA damage response, signal transduction by p53 class mediator	2	17	2.29	0.0075	9606.ENSP00000278616,9606.ENSP00000418915	ATM,CDKN2A
GO Process	GO:0071310	Cellular response to organic substance	7	2019	0.76	0.0076	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000325120,9606.ENSP00000362649,9606.ENSP00000363822	APC,TP53,NTRK2,ATM,PGR,HDAC1,AR
GO Process	GO:0030183	B cell differentiation	3	129	1.58	0.0077	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616	MSH2,TP53,ATM
GO Process	GO:0043549	Regulation of kinase activity	5	778	1.02	0.0077	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915	APC,NTRK2,ERCC6,CDK12,CDKN2A
GO Process	GO:0030889	Negative regulation of B cell proliferation	2	19	2.24	0.0087	9606.ENSP00000278616,9606.ENSP00000418915	ATM,CDKN2A
GO Process	GO:0045945	Positive regulation of transcription by RNA polymerase III	2	19	2.24	0.0087	9606.ENSP00000348089,9606.ENSP00000363822	ERCC6,AR
GO Process	GO:0007623	Circadian rhythm	3	139	1.55	0.0092	9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000362649	TP53,NTRK2,HDAC1
GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	2	20	2.22	0.0093	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0050864	Regulation of B cell activation	3	140	1.55	0.0093	9606.ENSP00000233146,9606.ENSP00000278616,9606.ENSP00000418915	MSH2,ATM,CDKN2A
GO Process	GO:0042327	Positive regulation of phosphorylation	5	826	1.0	0.0095	9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822	TP53,NTRK2,ATM,ERCC6,AR
GO Process	GO:0009411	Response to UV	3	150	1.52	0.0108	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000348089	MSH2,TP53,ERCC6
GO Process	GO:0090304	Nucleic acid metabolic process	7	2203	0.72	0.0117	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,TP53,ATM,ERCC6,AR,CDK12,CDKN2A
GO Process	GO:0043066	Negative regulation of apoptotic process	5	891	0.96	0.0125	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000362649,9606.ENSP00000363822	MSH2,TP53,NTRK2,HDAC1,AR
GO Process	GO:0010661	Positive regulation of muscle cell apoptotic process	2	25	2.12	0.0126	9606.ENSP00000269305,9606.ENSP00000418915	TP53,CDKN2A
GO Process	GO:0051240	Positive regulation of multicellular organismal process	6	1505	0.82	0.0131	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000386593	MSH2,APC,NTRK2,HDAC1,AR,PBRM1
GO Process	GO:0042659	Regulation of cell fate specification	2	26	2.1	0.0134	9606.ENSP00000362649,9606.ENSP00000363822	HDAC1,AR
GO Process	GO:0051247	Positive regulation of protein metabolic process	6	1512	0.81	0.0134	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,ERCC6,CDKN2A
GO Process	GO:1901700	Response to oxygen-containing compound	6	1547	0.8	0.0146	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822	APC,TP53,NTRK2,ATM,ERCC6,AR
GO Process	GO:0016070	RNA metabolic process	6	1550	0.8	0.0147	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	TP53,ATM,ERCC6,AR,CDK12,CDKN2A
GO Process	GO:0071480	Cellular response to gamma radiation	2	29	2.05	0.0156	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0033554	Cellular response to stress	6	1572	0.8	0.0157	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000418915	MSH2,APC,TP53,ATM,ERCC6,CDKN2A
GO Process	GO:0043170	Macromolecule metabolic process	10	5781	0.45	0.0163	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000398880,9606.ENSP00000418915	MSH2,APC,TP53,NTRK2,ATM,ERCC6,HDAC1,AR,CDK12,CDKN2A
GO Process	GO:0044093	Positive regulation of molecular function	6	1587	0.79	0.0163	9606.ENSP00000233146,9606.ENSP00000277120,9606.ENSP00000348089,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000418915	MSH2,NTRK2,ERCC6,HDAC1,AR,CDKN2A
GO Process	GO:0045736	Negative regulation of cyclin-dependent protein serine/threonine kinase activity	2	30	2.04	0.0163	9606.ENSP00000257430,9606.ENSP00000418915	APC,CDKN2A
GO Process	GO:0051128	Regulation of cellular component organization	7	2365	0.69	0.0163	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000363822,9606.ENSP00000386593,9606.ENSP00000418915	APC,TP53,NTRK2,ATM,AR,PBRM1,CDKN2A
