#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006281	DNA repair	7	497	1.4	3.25e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,FANCA,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0071214	Cellular response to abiotic stimulus	4	325	1.34	0.0112	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000382423,9606.ENSP00000418960	TP53,ATM,MAP3K1,BRCA1
GO Process	GO:0000724	Double-strand break repair via homologous recombination	3	114	1.67	0.0124	9606.ENSP00000278616,9606.ENSP00000418960,9606.ENSP00000498881	ATM,BRCA1,ERCC5
GO Process	GO:0031058	Positive regulation of histone modification	3	111	1.68	0.0124	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:1902749	Regulation of cell cycle G2/M phase transition	3	111	1.68	0.0124	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:0010225	Response to UV-C	2	15	2.38	0.0140	9606.ENSP00000269305,9606.ENSP00000498881	TP53,ERCC5
GO Process	GO:0043170	Macromolecule metabolic process	10	5781	0.49	0.0140	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0090399	Replicative senescence	2	16	2.35	0.0147	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0022402	Cell cycle process	5	835	1.03	0.0166	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,FANCA,SETD2,BRCA1
GO Process	GO:0048589	Developmental growth	4	412	1.24	0.0176	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107	TP53,ATM,GNAS,BMPR1A
GO Process	GO:0060039	Pericardium development	2	19	2.28	0.0176	9606.ENSP00000368370,9606.ENSP00000386759	WT1,SETD2
GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	2	20	2.25	0.0185	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0022414	Reproductive process	6	1504	0.85	0.0185	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759	ATM,GNAS,BMPR1A,WT1,FANCA,SETD2
GO Process	GO:0006950	Response to stress	8	3358	0.63	0.0192	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,GNAS,FANCA,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0008340	Determination of adult lifespan	2	21	2.23	0.0192	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0009314	Response to radiation	4	444	1.21	0.0192	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,BRCA1,ERCC5
GO Process	GO:0048608	Reproductive structure development	4	436	1.22	0.0192	9606.ENSP00000278616,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759	ATM,WT1,FANCA,SETD2
GO Process	GO:0007369	Gastrulation	3	167	1.51	0.0227	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000386759	TP53,BMPR1A,SETD2
GO Process	GO:0044030	Regulation of DNA methylation	2	25	2.16	0.0227	9606.ENSP00000368370,9606.ENSP00000418960	WT1,BRCA1
GO Process	GO:0046661	Male sex differentiation	3	168	1.5	0.0227	9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952	BMPR1A,WT1,FANCA
GO Process	GO:1901991	Negative regulation of mitotic cell cycle phase transition	3	167	1.51	0.0227	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:0001501	Skeletal system development	4	513	1.14	0.0277	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000386759	TP53,GNAS,BMPR1A,SETD2
GO Process	GO:0003006	Developmental process involved in reproduction	5	1023	0.94	0.0277	9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759	ATM,BMPR1A,WT1,FANCA,SETD2
GO Process	GO:0044237	Cellular metabolic process	10	6568	0.44	0.0277	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0048863	Stem cell differentiation	3	183	1.47	0.0277	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000386759	TP53,BMPR1A,SETD2
GO Process	GO:0071480	Cellular response to gamma radiation	2	29	2.09	0.0277	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0006807	Nitrogen compound metabolic process	10	6643	0.43	0.0282	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0010165	Response to X-ray	2	31	2.06	0.0283	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0060421	Positive regulation of heart growth	2	32	2.05	0.0297	9606.ENSP00000361107,9606.ENSP00000368370	BMPR1A,WT1
GO Process	GO:1901701	Cellular response to oxygen-containing compound	5	1057	0.93	0.0297	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000418960	TP53,ATM,GNAS,WT1,BRCA1
GO Process	GO:1903047	Mitotic cell cycle process	4	537	1.13	0.0297	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,SETD2,BRCA1
GO Process	GO:0007095	Mitotic G2 DNA damage checkpoint signaling	2	34	2.02	0.0315	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
GO Process	GO:0010033	Response to organic substance	7	2692	0.67	0.0315	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,SETD2,BRCA1
GO Process	GO:0071495	Cellular response to endogenous stimulus	5	1103	0.91	0.0337	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000418960	TP53,GNAS,BMPR1A,WT1,BRCA1
GO Process	GO:0009628	Response to abiotic stimulus	5	1107	0.91	0.0339	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,MAP3K1,BRCA1,ERCC5
GO Process	GO:0051239	Regulation of multicellular organismal process	7	2749	0.66	0.0347	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1
GO Process	GO:0071417	Cellular response to organonitrogen compound	4	574	1.1	0.0347	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000418960	TP53,GNAS,WT1,BRCA1
GO Process	GO:0043516	Regulation of DNA damage response, signal transduction by p53 class mediator	2	39	1.96	0.0379	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
GO Process	GO:0048583	Regulation of response to stimulus	8	3931	0.56	0.0380	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,FANCA,MAP3K1,SETD2,BRCA1
GO Process	GO:0008406	Gonad development	3	226	1.38	0.0382	9606.ENSP00000278616,9606.ENSP00000368370,9606.ENSP00000373952	ATM,WT1,FANCA
GO Process	GO:0044238	Primary metabolic process	10	7156	0.4	0.0445	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:2000378	Negative regulation of reactive oxygen species metabolic process	2	44	1.91	0.0445	9606.ENSP00000269305,9606.ENSP00000418960	TP53,BRCA1
GO Process	GO:0045926	Negative regulation of growth	3	247	1.34	0.0452	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370	TP53,GNAS,WT1
GO Process	GO:2000772	Regulation of cellular senescence	2	46	1.89	0.0457	9606.ENSP00000269305,9606.ENSP00000361107	TP53,BMPR1A
GO Process	GO:0045944	Positive regulation of transcription by RNA polymerase II	5	1250	0.86	0.0491	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000418960	TP53,ATM,BMPR1A,WT1,BRCA1
GO Process	GO:0071310	Cellular response to organic substance	6	2019	0.73	0.0491	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,BRCA1
GO Component	GO:1990391	DNA repair complex	3	43	2.1	0.0040	9606.ENSP00000278616,9606.ENSP00000418960,9606.ENSP00000498881	ATM,BRCA1,ERCC5
STRING clusters	CL:6147	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)	5	96	1.97	6.59e-06	9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	ATM,FANCA,BRCA1,BIVM-ERCC5,ERCC5
STRING clusters	CL:6148	Diseases of DNA repair, and DNA repair complex	4	76	1.97	6.20e-05	9606.ENSP00000278616,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	ATM,BRCA1,BIVM-ERCC5,ERCC5
STRING clusters	CL:6280	Nucleotide-excision repair complex, and XPG/Rad2 endonuclease, eukaryotes	2	10	2.55	0.0122	9606.ENSP00000491742,9606.ENSP00000498881	BIVM-ERCC5,ERCC5
STRING clusters	CL:6195	BRCA1-C complex, and NIPBL role in DNA damage - Cornelia de Lange syndrome	2	12	2.47	0.0147	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
KEGG	hsa01524	Platinum drug resistance	3	70	1.89	0.0026	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
KEGG	hsa05206	MicroRNAs in cancer	3	159	1.53	0.0144	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
KEGG	hsa03420	Nucleotide excision repair	2	46	1.89	0.0216	9606.ENSP00000491742,9606.ENSP00000498881	BIVM-ERCC5,ERCC5
KEGG	hsa03440	Homologous recombination	2	38	1.97	0.0216	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
KEGG	hsa03460	Fanconi anemia pathway	2	51	1.85	0.0216	9606.ENSP00000373952,9606.ENSP00000418960	FANCA,BRCA1
KEGG	hsa05166	Human T-cell leukemia virus 1 infection	3	210	1.41	0.0216	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000382423	TP53,ATM,MAP3K1
KEGG	hsa04115	p53 signaling pathway	2	72	1.7	0.0325	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
KEGG	hsa05165	Human papillomavirus infection	3	324	1.22	0.0325	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141	TP53,ATM,GNAS
KEGG	hsa04912	GnRH signaling pathway	2	87	1.61	0.0403	9606.ENSP00000360141,9606.ENSP00000382423	GNAS,MAP3K1
KEGG	hsa01522	Endocrine resistance	2	94	1.58	0.0422	9606.ENSP00000269305,9606.ENSP00000360141	TP53,GNAS
Reactome	HSA-73894	DNA Repair	5	310	1.46	0.00098	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,FANCA,BRCA1,ERCC5
Reactome	HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	3	60	1.95	0.0058	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
Reactome	HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	3	62	1.94	0.0058	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
Reactome	HSA-69473	G2/M DNA damage checkpoint	3	77	1.84	0.0058	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
Reactome	HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	92	1.77	0.0066	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
Reactome	HSA-6803207	TP53 Regulates Transcription of Caspase Activators and Caspases	2	12	2.47	0.0084	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
Reactome	HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	2	26	2.14	0.0169	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	2	19	2.28	0.0169	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
Reactome	HSA-6804760	Regulation of TP53 Activity through Methylation	2	19	2.28	0.0169	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
Reactome	HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	2	24	2.17	0.0169	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	2	24	2.17	0.0169	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	2	24	2.17	0.0169	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-9709603	Impaired BRCA2 binding to PALB2	2	24	2.17	0.0169	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	2	32	2.05	0.0189	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-9709570	Impaired BRCA2 binding to RAD51	2	34	2.02	0.0192	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-6804757	Regulation of TP53 Degradation	2	35	2.01	0.0194	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
Reactome	HSA-5685938	HDR through Single Strand Annealing (SSA)	2	37	1.99	0.0197	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	2	39	1.96	0.0210	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	2	51	1.85	0.0283	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
Reactome	HSA-5693571	Nonhomologous End-Joining (NHEJ)	2	51	1.85	0.0283	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-912446	Meiotic recombination	2	56	1.81	0.0300	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
Reactome	HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	2	60	1.78	0.0333	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
WikiPathways	WP5316	Primary ovarian insufficiency	6	171	1.8	1.67e-07	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000418960	ATM,GNAS,BMPR1A,WT1,FANCA,BRCA1
WikiPathways	WP3651	Pathways affected in adenoid cystic carcinoma	4	65	2.04	1.74e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,SETD2,BRCA1
WikiPathways	WP4016	DNA IR-damage and cellular response via ATR	4	81	1.95	2.70e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000418960	TP53,ATM,FANCA,BRCA1
WikiPathways	WP4946	DNA repair pathways, full network	4	120	1.78	9.29e-05	9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000498881	ATM,FANCA,BRCA1,ERCC5
WikiPathways	WP2516	ATM signaling pathway	3	40	2.13	0.00025	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP1971	Integrated cancer pathway	3	44	2.09	0.00027	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP5087	Malignant pleural mesothelioma	5	434	1.31	0.00027	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,MAP3K1,SETD2,BRCA1
WikiPathways	WP3959	DNA IR-double strand breaks and cellular response via ATM	3	55	1.99	0.00038	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP1530	miRNA regulation of DNA damage response	3	71	1.88	0.00066	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP707	DNA damage response	3	69	1.89	0.00066	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP2261	Glioblastoma signaling pathways	3	82	1.82	0.00088	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP5118	SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome	2	11	2.51	0.0014	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
WikiPathways	WP2263	Androgen receptor network in prostate cancer	3	109	1.69	0.0017	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP5322	CKAP4 signaling pathway map	3	114	1.67	0.0017	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP710	DNA damage response (only ATM dependent)	3	109	1.69	0.0017	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000382423	TP53,ATM,MAP3K1
WikiPathways	WP1545	miRNAs involved in DNA damage response	2	15	2.38	0.0019	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
WikiPathways	WP1742	TP53 network	2	19	2.28	0.0027	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
WikiPathways	WP4262	Breast cancer pathway	3	154	1.54	0.0034	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
WikiPathways	WP3982	miRNA regulation of p53 pathway in prostate cancer	2	24	2.17	0.0038	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
WikiPathways	WP3646	Hepatitis C and hepatocellular carcinoma	2	48	1.87	0.0133	9606.ENSP00000269305,9606.ENSP00000418960	TP53,BRCA1
WikiPathways	WP5053	Development of ureteric collection system	2	60	1.78	0.0196	9606.ENSP00000361107,9606.ENSP00000368370	BMPR1A,WT1
WikiPathways	WP45	G1 to S cell cycle control	2	64	1.75	0.0211	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
WikiPathways	WP254	Apoptosis	2	83	1.64	0.0335	9606.ENSP00000269305,9606.ENSP00000382423	TP53,MAP3K1
Monarch	HP:0000008	Abnormal morphology of female internal genitalia	9	355	1.66	1.47e-10	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0000812	Abnormal internal genitalia	9	391	1.62	1.73e-10	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0010460	Abnormality of the female genitalia	9	422	1.58	2.27e-10	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0011793	Neoplasm by anatomical site	10	732	1.39	2.27e-10	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
