#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0035825	Homologous recombination	5	63	2.11	5.13e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA1
GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process	9	3166	0.67	0.0026	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,MAP2K1,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0031323	Regulation of cellular metabolic process	11	5681	0.5	0.0027	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0051276	Chromosome organization	6	968	1.01	0.0027	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0051171	Regulation of nitrogen compound metabolic process	11	5734	0.5	0.0029	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0008630	Intrinsic apoptotic signaling pathway in response to DNA damage	3	75	1.82	0.0030	9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	ATM,BRCA2,BRCA1
GO Process	GO:0033044	Regulation of chromosome organization	4	253	1.41	0.0030	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000386593	APC,ATM,ERCC4,PBRM1
GO Process	GO:0043170	Macromolecule metabolic process	11	5781	0.49	0.0030	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0110025	DNA strand resection involved in replication fork processing	2	7	2.67	0.0030	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0051865	Protein autoubiquitination	3	77	1.81	0.0032	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
GO Process	GO:0044773	Mitotic DNA damage checkpoint signaling	3	81	1.78	0.0034	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	ATM,FANCD2,BRCA1
GO Process	GO:0070537	Histone H2A K63-linked deubiquitination	2	8	2.61	0.0034	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0080090	Regulation of primary metabolic process	11	5899	0.49	0.0034	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:1904354	Negative regulation of telomere capping	2	8	2.61	0.0034	9606.ENSP00000278616,9606.ENSP00000310520	ATM,ERCC4
GO Process	GO:0085020	Protein K6-linked ubiquitination	2	9	2.56	0.0038	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:2001251	Negative regulation of chromosome organization	3	84	1.77	0.0038	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000310520	APC,ATM,ERCC4
GO Process	GO:0007059	Chromosome segregation	4	286	1.36	0.0042	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA1
GO Process	GO:0030071	Regulation of mitotic metaphase/anaphase transition	3	91	1.73	0.0045	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000386593	APC,ATM,PBRM1
GO Process	GO:0007165	Signal transduction	10	4714	0.54	0.0049	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0010604	Positive regulation of macromolecule metabolic process	9	3533	0.62	0.0049	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,MAP2K1,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0000723	Telomere maintenance	3	97	1.71	0.0050	9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497	ATM,ERCC4,BRCA2
GO Process	GO:0048523	Negative regulation of cellular process	10	4736	0.54	0.0050	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0045132	Meiotic chromosome segregation	3	98	1.7	0.0051	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520	ATM,FANCD2,ERCC4
GO Process	GO:0060255	Regulation of macromolecule metabolic process	11	6249	0.46	0.0051	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0033043	Regulation of organelle organization	6	1190	0.92	0.0059	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000386593,9606.ENSP00000418960	APC,ATM,MAP2K1,ERCC4,PBRM1,BRCA1
GO Process	GO:0036211	Protein modification process	8	2674	0.69	0.0059	9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	BARD1,NTRK2,ATM,MAP2K1,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0051716	Cellular response to stimulus	11	6357	0.45	0.0059	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0000722	Telomere maintenance via recombination	2	14	2.37	0.0066	9606.ENSP00000310520,9606.ENSP00000369497	ERCC4,BRCA2
GO Process	GO:0008285	Negative regulation of cell population proliferation	5	713	1.06	0.0066	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593	APC,ATM,MAP2K1,BRCA2,PBRM1
GO Process	GO:0010639	Negative regulation of organelle organization	4	351	1.27	0.0072	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000418960	APC,ATM,ERCC4,BRCA1
GO Process	GO:0006468	Protein phosphorylation	5	736	1.05	0.0073	9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000382423,9606.ENSP00000414150	NTRK2,ATM,MAP2K1,MAP3K1,ERG
GO Process	GO:0044237	Cellular metabolic process	11	6568	0.44	0.0073	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0006807	Nitrogen compound metabolic process	11	6643	0.43	0.0080	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0007420	Brain development	5	775	1.02	0.0087	9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497	NTRK2,ATM,FANCD2,MAP2K1,BRCA2
GO Process	GO:0019538	Protein metabolic process	9	3910	0.58	0.0087	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,MAP2K1,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0016570	Histone modification	4	396	1.22	0.0101	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
GO Process	GO:0009966	Regulation of signal transduction	8	2978	0.64	0.0104	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,BRCA2,BRCA1
GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process	9	4074	0.56	0.0109	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0051053	Negative regulation of DNA metabolic process	3	149	1.52	0.0123	9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497	ATM,ERCC4,BRCA2
GO Process	GO:0044238	Primary metabolic process	11	7156	0.4	0.0152	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,ERG,BRCA1
GO Process	GO:0031324	Negative regulation of cellular metabolic process	7	2265	0.71	0.0160	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,ERCC4,BRCA2,BRCA1
GO Process	GO:2000045	Regulation of G1/S transition of mitotic cell cycle	3	164	1.48	0.0160	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000386593	APC,ATM,PBRM1
GO Process	GO:0051247	Positive regulation of protein metabolic process	6	1512	0.81	0.0161	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,MAP2K1,BRCA1
GO Process	GO:2001022	Positive regulation of response to DNA damage stimulus	3	168	1.47	0.0165	9606.ENSP00000278616,9606.ENSP00000386593,9606.ENSP00000418960	ATM,PBRM1,BRCA1
GO Process	GO:0051128	Regulation of cellular component organization	7	2365	0.69	0.0202	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000386593,9606.ENSP00000418960	APC,NTRK2,ATM,MAP2K1,ERCC4,PBRM1,BRCA1
GO Process	GO:0007094	Mitotic spindle assembly checkpoint signaling	2	31	2.02	0.0214	9606.ENSP00000257430,9606.ENSP00000278616	APC,ATM
GO Process	GO:0010165	Response to X-ray	2	31	2.02	0.0214	9606.ENSP00000278616,9606.ENSP00000369497	ATM,BRCA2
GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process	7	2403	0.68	0.0214	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,ERCC4,BRCA2,BRCA1
GO Process	GO:0007095	Mitotic G2 DNA damage checkpoint signaling	2	34	1.98	0.0234	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
GO Process	GO:0042127	Regulation of cell population proliferation	6	1669	0.77	0.0241	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593	APC,NTRK2,ATM,MAP2K1,BRCA2,PBRM1
GO Process	GO:0044260	Cellular macromolecule metabolic process	7	2512	0.66	0.0252	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0006282	Regulation of DNA repair	3	213	1.36	0.0268	9606.ENSP00000260947,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,PBRM1,BRCA1
GO Process	GO:1902531	Regulation of intracellular signal transduction	6	1726	0.76	0.0268	9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,NTRK2,ATM,MAP2K1,BRCA2,BRCA1
GO Process	GO:0036297	Interstrand cross-link repair	2	41	1.9	0.0301	9606.ENSP00000287647,9606.ENSP00000310520	FANCD2,ERCC4
GO Process	GO:0006303	Double-strand break repair via nonhomologous end joining	2	43	1.88	0.0323	9606.ENSP00000278616,9606.ENSP00000310520	ATM,ERCC4
GO Process	GO:0030330	DNA damage response, signal transduction by p53 class mediator	2	44	1.87	0.0335	9606.ENSP00000278616,9606.ENSP00000369497	ATM,BRCA2
GO Process	GO:0051252	Regulation of RNA metabolic process	8	3759	0.54	0.0395	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	BARD1,ATM,FANCD2,MAP2K1,BRCA2,PBRM1,ERG,BRCA1
GO Process	GO:0048538	Thymus development	2	49	1.83	0.0400	9606.ENSP00000278616,9606.ENSP00000302486	ATM,MAP2K1
GO Process	GO:0048599	Oocyte development	2	49	1.83	0.0400	9606.ENSP00000278616,9606.ENSP00000369497	ATM,BRCA2
GO Process	GO:0051239	Regulation of multicellular organismal process	7	2749	0.62	0.0400	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,NTRK2,FANCD2,MAP2K1,BRCA2,PBRM1,BRCA1
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	7	2760	0.62	0.0404	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,ERCC4,BRCA2,BRCA1
GO Process	GO:0043009	Chordate embryonic development	4	654	1.0	0.0448	9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	ATM,MAP2K1,BRCA2,BRCA1
GO Process	GO:0007140	Male meiotic nuclear division	2	53	1.79	0.0449	9606.ENSP00000278616,9606.ENSP00000369497	ATM,BRCA2
GO Component	GO:1990391	DNA repair complex	5	43	2.28	1.11e-07	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Component	GO:0000793	Condensed chromosome	5	275	1.47	0.00042	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,FANCD2,BRCA2,PBRM1,BRCA1
